Country,Cancer Type,Deaths (2021),% of Total Cancer Deaths,Total Cancer Deaths,Population (2021)
Central African Republic,Cervical Cancer,25354,10.27,246922,1371534018
Central African Republic,Bladder Cancer,29145,11.8,246922,1286981412
Central African Republic,Non-Hodgkin Lymphoma,76186,30.85,246922,1169854493
Central African Republic,Leukemia,21581,8.74,246922,388537761
Central African Republic,Kidney Cancer,24051,9.74,246922,1352181924
Central African Republic,Ovarian Cancer,70626,28.6,246922,588631548
Central African Republic,Oral Cancer,22520,9.12,246922,819449976
Chad,Lung Cancer,58134,12.74,456150,373396043
Chad,Colorectal Cancer,2341,0.51,456150,1110786962
Chad,Stomach Cancer,72431,15.88,456150,597783070
Chad,Liver Cancer,52860,11.59,456150,1113550480
Chad,Breast Cancer,2750,0.6,456150,963516452
Chad,Esophageal Cancer,68957,15.12,456150,590405135
Chad,Pancreatic Cancer,59053,12.95,456150,1073315928
Chad,Prostate Cancer,56761,12.44,456150,630921035
Chad,Cervical Cancer,78454,17.2,456150,830681210
Chad,Bladder Cancer,28935,6.34,456150,883938633
Chad,Non-Hodgkin Lymphoma,30711,6.73,456150,776565206
Chad,Leukemia,57276,12.56,456150,1344701382
Chad,Kidney Cancer,45813,10.04,456150,518640526
Chad,Ovarian Cancer,9820,2.15,456150,993239110
Chad,Oral Cancer,70768,15.51,456150,828206514
Chile,Lung Cancer,74543,16.84,442703,1269483548
Chile,Colorectal Cancer,7737,1.75,442703,1053544222
Chile,Stomach Cancer,55237,12.48,442703,236719027
Chile,Liver Cancer,26510,5.99,442703,1371526097
Chile,Breast Cancer,18850,4.26,442703,1413681193
Chile,Esophageal Cancer,67150,15.17,442703,159946576
Chile,Pancreatic Cancer,75910,17.15,442703,988880418
Chile,Prostate Cancer,36435,8.23,442703,518830843
Chile,Cervical Cancer,58132,13.13,442703,331511457
Chile,Bladder Cancer,3983,0.9,442703,966365942
Chile,Non-Hodgkin Lymphoma,24510,5.54,442703,281703339
Chile,Leukemia,41998,9.49,442703,1355161678
Chile,Kidney Cancer,7640,1.73,442703,165933123
Chile,Ovarian Cancer,55620,12.56,442703,695303701
Chile,Oral Cancer,8564,1.93,442703,541699345
China,Lung Cancer,75859,35.48,213824,1001553341
China,Colorectal Cancer,75038,35.09,213824,92351453
China,Stomach Cancer,30430,14.23,213824,797600076
China,Liver Cancer,28788,13.46,213824,1284264226
China,Breast Cancer,40974,19.16,213824,41739629
China,Esophageal Cancer,17371,8.12,213824,227275356
China,Pancreatic Cancer,30629,14.32,213824,381291056
China,Prostate Cancer,62916,29.42,213824,162476925
China,Cervical Cancer,74972,35.06,213824,548631800
China,Bladder Cancer,34039,15.92,213824,1167886635
China,Non-Hodgkin Lymphoma,59606,27.88,213824,1153225545
China,Leukemia,51072,23.89,213824,1445700158
China,Kidney Cancer,4430,2.07,213824,97719187
China,Ovarian Cancer,13676,6.4,213824,998599808
China,Oral Cancer,33733,15.78,213824,15372528
Colombia,Lung Cancer,34933,34.23,102050,1276617655
Colombia,Colorectal Cancer,33413,32.74,102050,1273633667
Colombia,Stomach Cancer,33913,33.23,102050,1004337661
Colombia,Liver Cancer,41600,40.76,102050,1191846895
Colombia,Breast Cancer,36400,35.67,102050,471159758
Colombia,Esophageal Cancer,75691,74.17,102050,938393291
Colombia,Pancreatic Cancer,44001,43.12,102050,1280854372
Colombia,Prostate Cancer,46028,45.1,102050,385017322
Colombia,Cervical Cancer,38573,37.8,102050,433926039
Colombia,Bladder Cancer,30757,30.14,102050,488098188
Colombia,Non-Hodgkin Lymphoma,49280,48.29,102050,1046192390
Colombia,Leukemia,63211,61.94,102050,996022394
Colombia,Kidney Cancer,57979,56.81,102050,1451950492
Colombia,Ovarian Cancer,39197,38.41,102050,463726004
Colombia,Oral Cancer,65754,64.43,102050,55496748
Comoros,Lung Cancer,41042,9.34,439273,759182113
Comoros,Colorectal Cancer,28376,6.46,439273,1201806146
Comoros,Stomach Cancer,15199,3.46,439273,1292795972
Comoros,Liver Cancer,51948,11.83,439273,558391925
Comoros,Breast Cancer,73750,16.79,439273,930104598
Comoros,Esophageal Cancer,47600,10.84,439273,418788947
Comoros,Pancreatic Cancer,19297,4.39,439273,108509488
Comoros,Prostate Cancer,27172,6.19,439273,1118693818
Comoros,Cervical Cancer,8657,1.97,439273,66489314
Comoros,Bladder Cancer,26425,6.02,439273,842902141
Comoros,Non-Hodgkin Lymphoma,25578,5.82,439273,1357492959
Comoros,Leukemia,8906,2.03,439273,964964901
Comoros,Kidney Cancer,55028,12.53,439273,962289335
Comoros,Ovarian Cancer,34660,7.89,439273,159803950
Comoros,Oral Cancer,61504,14.0,439273,400173960
Congo,Lung Cancer,35701,17.59,202979,393932961
Congo,Colorectal Cancer,18674,9.2,202979,1141743490
Congo,Stomach Cancer,44642,21.99,202979,557262363
Congo,Liver Cancer,66160,32.59,202979,191596290
Congo,Breast Cancer,26931,13.27,202979,153137897
Congo,Esophageal Cancer,30192,14.87,202979,1414264846
Congo,Pancreatic Cancer,43520,21.44,202979,219430724
Congo,Prostate Cancer,59762,29.44,202979,374605306
Congo,Cervical Cancer,26559,13.08,202979,1086119611
Congo,Bladder Cancer,34742,17.12,202979,22827621
Congo,Non-Hodgkin Lymphoma,22754,11.21,202979,960582084
Congo,Leukemia,71831,35.39,202979,141026769
Congo,Kidney Cancer,10903,5.37,202979,788090380
Congo,Ovarian Cancer,42755,21.06,202979,327979524
Congo,Oral Cancer,46648,22.98,202979,265213617
Costa Rica,Lung Cancer,10516,4.65,225991,70058877
Costa Rica,Colorectal Cancer,3396,1.5,225991,1395494137
Costa Rica,Stomach Cancer,2591,1.15,225991,697265767
Costa Rica,Liver Cancer,31561,13.97,225991,189028967
Costa Rica,Breast Cancer,8314,3.68,225991,681545447
Costa Rica,Esophageal Cancer,68675,30.39,225991,676772986
Costa Rica,Pancreatic Cancer,66082,29.24,225991,689913199
Costa Rica,Prostate Cancer,34130,15.1,225991,1026165868
Costa Rica,Cervical Cancer,27292,12.08,225991,774698729
Costa Rica,Bladder Cancer,70274,31.1,225991,1086409701
Costa Rica,Non-Hodgkin Lymphoma,54947,24.31,225991,682203718
Costa Rica,Leukemia,64620,28.59,225991,126616114
Costa Rica,Kidney Cancer,55302,24.47,225991,1400372310
Costa Rica,Ovarian Cancer,79249,35.07,225991,554491849
Costa Rica,Oral Cancer,3719,1.65,225991,1440324522
Croatia,Lung Cancer,19787,13.88,142534,242298689
Croatia,Colorectal Cancer,49845,34.97,142534,1103242380
Croatia,Stomach Cancer,34062,23.9,142534,830499329
Croatia,Liver Cancer,61461,43.12,142534,1403021530
Croatia,Breast Cancer,67672,47.48,142534,258029352
Croatia,Esophageal Cancer,35832,25.14,142534,498545575
Croatia,Pancreatic Cancer,32966,23.13,142534,576550139
Croatia,Prostate Cancer,38311,26.88,142534,172735895
Croatia,Cervical Cancer,64852,45.5,142534,1202926818
Croatia,Bladder Cancer,2007,1.41,142534,460478341
Croatia,Non-Hodgkin Lymphoma,77242,54.19,142534,1122106333
Croatia,Leukemia,30257,21.23,142534,1461810721
Croatia,Kidney Cancer,62246,43.67,142534,570606715
Croatia,Ovarian Cancer,27660,19.41,142534,441275932
Croatia,Oral Cancer,14507,10.18,142534,747265491
Cuba,Lung Cancer,46539,25.32,183807,292357937
Cuba,Colorectal Cancer,8491,4.62,183807,1293628698
Cuba,Stomach Cancer,51192,27.85,183807,1164868683
Cuba,Liver Cancer,64888,35.3,183807,353919433
Cuba,Breast Cancer,10077,5.48,183807,1486556416
Cuba,Esophageal Cancer,21953,11.94,183807,321810103
Cuba,Pancreatic Cancer,68889,37.48,183807,757138670
Cuba,Prostate Cancer,25860,14.07,183807,1073246435
Cuba,Cervical Cancer,22427,12.2,183807,1110231996
Cuba,Bladder Cancer,28083,15.28,183807,106600006
Cuba,Non-Hodgkin Lymphoma,58372,31.76,183807,96019914
Cuba,Leukemia,45064,24.52,183807,1390895301
Cuba,Kidney Cancer,32598,17.73,183807,1370173919
Cuba,Ovarian Cancer,28082,15.28,183807,788247673
Cuba,Oral Cancer,45569,24.79,183807,683634721
Cyprus,Lung Cancer,14025,3.61,388173,439918242
Cyprus,Colorectal Cancer,7540,1.94,388173,703758950
Cyprus,Stomach Cancer,69878,18.0,388173,1267197366
Cyprus,Liver Cancer,76932,19.82,388173,1282508426
Cyprus,Breast Cancer,24411,6.29,388173,1461061983
Cyprus,Esophageal Cancer,61545,15.86,388173,1172764910
Cyprus,Pancreatic Cancer,79797,20.56,388173,989073043
Cyprus,Prostate Cancer,4093,1.05,388173,565080074
Cyprus,Cervical Cancer,23042,5.94,388173,649788715
Cyprus,Bladder Cancer,34756,8.95,388173,595964410
Cyprus,Non-Hodgkin Lymphoma,54331,14.0,388173,1118095570
Cyprus,Leukemia,64416,16.59,388173,1340823610
Cyprus,Kidney Cancer,8424,2.17,388173,1378579577
Cyprus,Ovarian Cancer,20982,5.41,388173,1056861921
Cyprus,Oral Cancer,2980,0.77,388173,861535970
Czech Republic,Lung Cancer,27385,21.66,126431,186683482
Czech Republic,Colorectal Cancer,22563,17.85,126431,797826029
Czech Republic,Stomach Cancer,6776,5.36,126431,392548508
Czech Republic,Liver Cancer,69916,55.3,126431,660956231
Czech Republic,Breast Cancer,75318,59.57,126431,1481832685
Czech Republic,Esophageal Cancer,31707,25.08,126431,77716230
Czech Republic,Pancreatic Cancer,62788,49.66,126431,564692479
Czech Republic,Prostate Cancer,39827,31.5,126431,140698868
Czech Republic,Cervical Cancer,6655,5.26,126431,502009282
Czech Republic,Bladder Cancer,16251,12.85,126431,1274617965
Czech Republic,Non-Hodgkin Lymphoma,1526,1.21,126431,6290717
Czech Republic,Leukemia,12536,9.92,126431,461877693
Czech Republic,Kidney Cancer,52027,41.15,126431,251880520
Czech Republic,Ovarian Cancer,66455,52.56,126431,691740155
Czech Republic,Oral Cancer,6109,4.83,126431,1400839220
Denmark,Lung Cancer,55615,13.52,411412,1333994442
Denmark,Colorectal Cancer,30759,7.48,411412,643443984
Denmark,Stomach Cancer,27589,6.71,411412,430584990
Denmark,Liver Cancer,27143,6.6,411412,675240522
Denmark,Breast Cancer,22804,5.54,411412,1105061144
Denmark,Esophageal Cancer,65288,15.87,411412,1202950821
Denmark,Pancreatic Cancer,53648,13.04,411412,171161543
Denmark,Prostate Cancer,50930,12.38,411412,1071141106
Denmark,Cervical Cancer,47167,11.46,411412,627730536
Denmark,Bladder Cancer,44408,10.79,411412,442489995
Denmark,Non-Hodgkin Lymphoma,53269,12.95,411412,613013727
Denmark,Leukemia,75319,18.31,411412,508475029
Denmark,Kidney Cancer,49787,12.1,411412,1487129824
Denmark,Ovarian Cancer,75441,18.34,411412,1185572327
Denmark,Oral Cancer,23431,5.7,411412,1403140667
Djibouti,Lung Cancer,50153,22.52,222720,148069152
Djibouti,Colorectal Cancer,28424,12.76,222720,355371485
Djibouti,Stomach Cancer,57985,26.03,222720,1384386214
Djibouti,Liver Cancer,24398,10.95,222720,863683225
Djibouti,Breast Cancer,51861,23.29,222720,830761657
Djibouti,Esophageal Cancer,69577,31.24,222720,177881769
Djibouti,Pancreatic Cancer,10078,4.52,222720,732799979
Djibouti,Prostate Cancer,63768,28.63,222720,586963466
Djibouti,Cervical Cancer,58660,26.34,222720,887806466
Djibouti,Bladder Cancer,50786,22.8,222720,136661445
Djibouti,Non-Hodgkin Lymphoma,27015,12.13,222720,1284490344
Djibouti,Leukemia,65881,29.58,222720,920496369
Djibouti,Kidney Cancer,4389,1.97,222720,1218291347
Djibouti,Ovarian Cancer,14629,6.57,222720,483144366
Djibouti,Oral Cancer,25826,11.6,222720,345090630
Dominica,Lung Cancer,47163,14.3,329834,228639503
Dominica,Colorectal Cancer,67435,20.45,329834,419655621
Dominica,Stomach Cancer,28961,8.78,329834,1220051541
Dominica,Liver Cancer,75137,22.78,329834,617661506
Dominica,Breast Cancer,57446,17.42,329834,114398568
Dominica,Esophageal Cancer,37877,11.48,329834,351598090
Dominica,Pancreatic Cancer,16313,4.95,329834,260210229
Dominica,Prostate Cancer,73715,22.35,329834,1062300310
Dominica,Cervical Cancer,2560,0.78,329834,498108210
Dominica,Bladder Cancer,27745,8.41,329834,1414119122
Dominica,Non-Hodgkin Lymphoma,21022,6.37,329834,1447956387
Dominica,Leukemia,71316,21.62,329834,783190471
Dominica,Kidney Cancer,29380,8.91,329834,1245245622
Dominica,Ovarian Cancer,3356,1.02,329834,682644726
Dominica,Oral Cancer,21049,6.38,329834,90597893
Dominican Republic,Lung Cancer,17082,3.65,467505,982205653
Dominican Republic,Colorectal Cancer,38412,8.22,467505,183444343
Dominican Republic,Stomach Cancer,3920,0.84,467505,646643906
Dominican Republic,Liver Cancer,61315,13.12,467505,858028297
Dominican Republic,Breast Cancer,9946,2.13,467505,775074402
Dominican Republic,Esophageal Cancer,46500,9.95,467505,311089820
Dominican Republic,Pancreatic Cancer,17309,3.7,467505,132651518
Dominican Republic,Prostate Cancer,31027,6.64,467505,749154672
Dominican Republic,Cervical Cancer,73541,15.73,467505,976683742
Dominican Republic,Bladder Cancer,60321,12.9,467505,1043416572
Dominican Republic,Non-Hodgkin Lymphoma,75131,16.07,467505,554040676
Dominican Republic,Leukemia,79339,16.97,467505,1011821851
Dominican Republic,Kidney Cancer,26963,5.77,467505,1150865341
Dominican Republic,Ovarian Cancer,40443,8.65,467505,21808635
Dominican Republic,Oral Cancer,40063,8.57,467505,186974321
East Timor,Lung Cancer,5703,1.19,478544,379207848
East Timor,Colorectal Cancer,73099,15.28,478544,127248185
East Timor,Stomach Cancer,32860,6.87,478544,457077027
East Timor,Liver Cancer,44585,9.32,478544,420719502
East Timor,Breast Cancer,27017,5.65,478544,1259236835
East Timor,Esophageal Cancer,46350,9.69,478544,1189966313
East Timor,Pancreatic Cancer,30426,6.36,478544,397641650
East Timor,Prostate Cancer,46241,9.66,478544,905787211
East Timor,Cervical Cancer,49364,10.32,478544,566046823
East Timor,Bladder Cancer,58056,12.13,478544,566078882
East Timor,Non-Hodgkin Lymphoma,20975,4.38,478544,438465565
East Timor,Leukemia,12561,2.62,478544,1021240811
East Timor,Kidney Cancer,67061,14.01,478544,55181889
East Timor,Ovarian Cancer,34142,7.13,478544,297923045
East Timor,Oral Cancer,5648,1.18,478544,1062849405
Ecuador,Lung Cancer,71135,36.28,196059,342084390
Ecuador,Colorectal Cancer,48064,24.52,196059,699453075
Ecuador,Stomach Cancer,70350,35.88,196059,703329669
Ecuador,Liver Cancer,62272,31.76,196059,1109674625
Ecuador,Breast Cancer,65674,33.5,196059,674178852
Ecuador,Esophageal Cancer,14760,7.53,196059,1175558119
Ecuador,Pancreatic Cancer,62367,31.81,196059,1019026902
Ecuador,Prostate Cancer,53233,27.15,196059,316666114
Ecuador,Cervical Cancer,34397,17.54,196059,730104653
Ecuador,Bladder Cancer,77367,39.46,196059,85928457
Ecuador,Non-Hodgkin Lymphoma,72260,36.86,196059,1448417609
Ecuador,Leukemia,77619,39.59,196059,1413543325
Ecuador,Kidney Cancer,20816,10.62,196059,1069219667
Ecuador,Ovarian Cancer,24499,12.5,196059,889101376
Ecuador,Oral Cancer,72635,37.05,196059,158502584
Egypt,Lung Cancer,56204,14.12,398090,704535076
Egypt,Colorectal Cancer,16563,4.16,398090,1211280240
Egypt,Stomach Cancer,10847,2.72,398090,1313843307
Egypt,Liver Cancer,68278,17.15,398090,250710469
Egypt,Breast Cancer,1619,0.41,398090,172394298
Egypt,Esophageal Cancer,51108,12.84,398090,147835347
Egypt,Pancreatic Cancer,21337,5.36,398090,246186177
Egypt,Prostate Cancer,67504,16.96,398090,134872126
Egypt,Cervical Cancer,1281,0.32,398090,169979228
Egypt,Bladder Cancer,40030,10.06,398090,966084194
Egypt,Non-Hodgkin Lymphoma,77260,19.41,398090,381343354
Egypt,Leukemia,30856,7.75,398090,32073264
Egypt,Kidney Cancer,65178,16.37,398090,179554061
Egypt,Ovarian Cancer,26611,6.68,398090,638129193
Egypt,Oral Cancer,42235,10.61,398090,799725370
El Salvador,Lung Cancer,66661,19.29,345546,1388835608
El Salvador,Colorectal Cancer,62212,18.0,345546,345079398
El Salvador,Stomach Cancer,57503,16.64,345546,67984430
El Salvador,Liver Cancer,7570,2.19,345546,1472685526
El Salvador,Breast Cancer,13115,3.8,345546,541055702
El Salvador,Esophageal Cancer,23911,6.92,345546,571005117
El Salvador,Pancreatic Cancer,33556,9.71,345546,617509747
El Salvador,Prostate Cancer,2969,0.86,345546,867953961
El Salvador,Cervical Cancer,5470,1.58,345546,698424903
El Salvador,Bladder Cancer,11225,3.25,345546,809953172
El Salvador,Non-Hodgkin Lymphoma,24196,7.0,345546,1008433061
El Salvador,Leukemia,38380,11.11,345546,761852565
El Salvador,Kidney Cancer,49320,14.27,345546,1453194102
El Salvador,Ovarian Cancer,16577,4.8,345546,788044297
El Salvador,Oral Cancer,56409,16.32,345546,1049604625
Equatorial Guinea,Lung Cancer,25089,8.04,312112,304266535
Equatorial Guinea,Colorectal Cancer,51138,16.38,312112,1270207384
Equatorial Guinea,Stomach Cancer,55061,17.64,312112,759119200
Equatorial Guinea,Liver Cancer,32890,10.54,312112,683407887
Equatorial Guinea,Breast Cancer,20508,6.57,312112,718137199
Equatorial Guinea,Esophageal Cancer,79916,25.6,312112,332508072
Equatorial Guinea,Pancreatic Cancer,9125,2.92,312112,678940443
Equatorial Guinea,Prostate Cancer,70569,22.61,312112,451773695
Equatorial Guinea,Cervical Cancer,6704,2.15,312112,1085168972
Equatorial Guinea,Bladder Cancer,28208,9.04,312112,389615924
Equatorial Guinea,Non-Hodgkin Lymphoma,67024,21.47,312112,469622282
Equatorial Guinea,Leukemia,26923,8.63,312112,647442593
Equatorial Guinea,Kidney Cancer,30165,9.66,312112,720808101
Equatorial Guinea,Ovarian Cancer,5114,1.64,312112,1323188229
Equatorial Guinea,Oral Cancer,37321,11.96,312112,1127506065
Eritrea,Lung Cancer,26426,5.76,458796,1366087562
Eritrea,Colorectal Cancer,4712,1.03,458796,517293975
Eritrea,Stomach Cancer,52924,11.54,458796,1395085518
Eritrea,Liver Cancer,28723,6.26,458796,472724025
Eritrea,Breast Cancer,10108,2.2,458796,209304732
Eritrea,Esophageal Cancer,9927,2.16,458796,977115627
Eritrea,Pancreatic Cancer,64449,14.05,458796,374927178
Eritrea,Prostate Cancer,77743,16.95,458796,723468461
Eritrea,Cervical Cancer,61233,13.35,458796,1114875393
Eritrea,Bladder Cancer,78576,17.13,458796,182950548
Eritrea,Non-Hodgkin Lymphoma,7471,1.63,458796,82955631
Eritrea,Leukemia,32348,7.05,458796,1348615964
Eritrea,Kidney Cancer,2177,0.47,458796,468800728
Eritrea,Ovarian Cancer,33779,7.36,458796,640915140
Eritrea,Oral Cancer,54551,11.89,458796,345337700
Estonia,Lung Cancer,47819,19.71,242635,464448846
Estonia,Colorectal Cancer,74770,30.82,242635,1138664943
Estonia,Stomach Cancer,27966,11.53,242635,1345263493
Estonia,Liver Cancer,60889,25.09,242635,926526379
Estonia,Breast Cancer,79714,32.85,242635,92199914
Estonia,Esophageal Cancer,59348,24.46,242635,1385669204
Estonia,Pancreatic Cancer,34174,14.08,242635,33482294
Estonia,Prostate Cancer,70967,29.25,242635,634399086
Estonia,Cervical Cancer,40310,16.61,242635,1046748504
Estonia,Bladder Cancer,9906,4.08,242635,259846478
Estonia,Non-Hodgkin Lymphoma,46379,19.11,242635,836621650
Estonia,Leukemia,47881,19.73,242635,715388813
Estonia,Kidney Cancer,7012,2.89,242635,505021955
Estonia,Ovarian Cancer,8151,3.36,242635,100148148
Estonia,Oral Cancer,37378,15.41,242635,1302486318
Eswatini,Lung Cancer,32010,13.09,244539,348600519
Eswatini,Colorectal Cancer,55691,22.77,244539,935738589
Eswatini,Stomach Cancer,13289,5.43,244539,1171911152
Eswatini,Liver Cancer,44596,18.24,244539,1389021849
Eswatini,Breast Cancer,45139,18.46,244539,780271753
Eswatini,Esophageal Cancer,30734,12.57,244539,109075916
Eswatini,Pancreatic Cancer,64646,26.44,244539,898846854
Eswatini,Prostate Cancer,19743,8.07,244539,1261174576
Eswatini,Cervical Cancer,75172,30.74,244539,1102928745
Eswatini,Bladder Cancer,25611,10.47,244539,374829493
Eswatini,Non-Hodgkin Lymphoma,60189,24.61,244539,216721344
Eswatini,Leukemia,22675,9.27,244539,187455415
Eswatini,Kidney Cancer,43668,17.86,244539,572880809
Eswatini,Ovarian Cancer,77666,31.76,244539,12098252
Eswatini,Oral Cancer,66429,27.16,244539,1371905717
Ethiopia,Lung Cancer,10435,3.94,265140,980595144
Ethiopia,Colorectal Cancer,53249,20.08,265140,911725640
Ethiopia,Stomach Cancer,77153,29.1,265140,1460693180
Ethiopia,Liver Cancer,32401,12.22,265140,1160403671
Ethiopia,Breast Cancer,35084,13.23,265140,1298339971
Ethiopia,Esophageal Cancer,56826,21.43,265140,737263334
Ethiopia,Pancreatic Cancer,37041,13.97,265140,1330421144
Ethiopia,Prostate Cancer,66681,25.15,265140,1146279378
Ethiopia,Cervical Cancer,66481,25.07,265140,372980529
Ethiopia,Bladder Cancer,65174,24.58,265140,1011329136
Ethiopia,Non-Hodgkin Lymphoma,18633,7.03,265140,931890358
Ethiopia,Leukemia,50104,18.9,265140,767419605
Ethiopia,Kidney Cancer,78231,29.51,265140,1342197092
Ethiopia,Ovarian Cancer,17014,6.42,265140,989899746
Ethiopia,Oral Cancer,34755,13.11,265140,886562822
Fiji,Lung Cancer,58993,15.29,385855,1104307720
Fiji,Colorectal Cancer,28213,7.31,385855,568002188
Fiji,Stomach Cancer,58784,15.23,385855,609916376
Fiji,Liver Cancer,18727,4.85,385855,587004258
Fiji,Breast Cancer,5358,1.39,385855,839139476
Fiji,Esophageal Cancer,33117,8.58,385855,935575270
Fiji,Pancreatic Cancer,56754,14.71,385855,1465970519
Fiji,Prostate Cancer,30371,7.87,385855,1369836397
Fiji,Cervical Cancer,61946,16.05,385855,444323971
Fiji,Bladder Cancer,18625,4.83,385855,1449379493
Fiji,Non-Hodgkin Lymphoma,77329,20.04,385855,1178511078
Fiji,Leukemia,40532,10.5,385855,342103597
Fiji,Kidney Cancer,13323,3.45,385855,368899367
Fiji,Ovarian Cancer,74379,19.28,385855,825063874
Fiji,Oral Cancer,17456,4.52,385855,1389870279
Finland,Lung Cancer,11106,7.18,154624,1476580997
Finland,Colorectal Cancer,69008,44.63,154624,504180262
Finland,Stomach Cancer,73240,47.37,154624,1426341243
Finland,Liver Cancer,70249,45.43,154624,729437691
Finland,Breast Cancer,11756,7.6,154624,301353963
Finland,Esophageal Cancer,37378,24.17,154624,603017951
Finland,Pancreatic Cancer,15484,10.01,154624,1165569351
Finland,Prostate Cancer,57549,37.22,154624,399624455
Finland,Cervical Cancer,74794,48.37,154624,142552629
Finland,Bladder Cancer,46113,29.82,154624,1431232322
Finland,Non-Hodgkin Lymphoma,75069,48.55,154624,728940933
Finland,Leukemia,6249,4.04,154624,696094017
Finland,Kidney Cancer,59576,38.53,154624,991636385
Finland,Ovarian Cancer,10686,6.91,154624,1433670323
Finland,Oral Cancer,1661,1.07,154624,268562795
France,Lung Cancer,61963,31.67,195673,753920396
France,Colorectal Cancer,49604,25.35,195673,817064798
France,Stomach Cancer,69910,35.73,195673,864003640
France,Liver Cancer,29982,15.32,195673,154878735
France,Breast Cancer,69619,35.58,195673,1493808336
France,Esophageal Cancer,47479,24.26,195673,709290443
France,Pancreatic Cancer,21103,10.78,195673,1269947923
France,Prostate Cancer,11754,6.01,195673,1008780076
France,Cervical Cancer,73982,37.81,195673,655621799
France,Bladder Cancer,30301,15.49,195673,1019681299
France,Non-Hodgkin Lymphoma,63711,32.56,195673,172614571
France,Leukemia,19752,10.09,195673,1470021816
France,Kidney Cancer,14395,7.36,195673,531796485
France,Ovarian Cancer,57273,29.27,195673,1237529607
France,Oral Cancer,5895,3.01,195673,549525216
Gabon,Lung Cancer,77559,16.23,477844,30370827
Gabon,Colorectal Cancer,66061,13.82,477844,685205555
Gabon,Stomach Cancer,20169,4.22,477844,272051260
Gabon,Liver Cancer,17163,3.59,477844,1302926368
Gabon,Breast Cancer,6782,1.42,477844,1131059889
Gabon,Esophageal Cancer,36585,7.66,477844,1027734840
Gabon,Pancreatic Cancer,56114,11.74,477844,1398093186
Gabon,Prostate Cancer,39067,8.18,477844,1202317565
Gabon,Cervical Cancer,19073,3.99,477844,433049347
Gabon,Bladder Cancer,65977,13.81,477844,68342646
Gabon,Non-Hodgkin Lymphoma,66450,13.91,477844,321350350
Gabon,Leukemia,5437,1.14,477844,286939003
Gabon,Kidney Cancer,65612,13.73,477844,896545833
Gabon,Ovarian Cancer,13329,2.79,477844,171650277
Gabon,Oral Cancer,26169,5.48,477844,550541292
Gambia,Lung Cancer,77957,57.92,134594,140505641
Gambia,Colorectal Cancer,64133,47.65,134594,952000525
Gambia,Stomach Cancer,74861,55.62,134594,607784578
Gambia,Liver Cancer,32750,24.33,134594,1309586931
Gambia,Breast Cancer,41461,30.8,134594,348545672
Gambia,Esophageal Cancer,79222,58.86,134594,99328226
Gambia,Pancreatic Cancer,7721,5.74,134594,661527962
Gambia,Prostate Cancer,21609,16.05,134594,961416674
Gambia,Cervical Cancer,73909,54.91,134594,314710545
Gambia,Bladder Cancer,49895,37.07,134594,1386043480
Gambia,Non-Hodgkin Lymphoma,75520,56.11,134594,1348450144
Gambia,Leukemia,74822,55.59,134594,598850944
Gambia,Kidney Cancer,32055,23.82,134594,1138349429
Gambia,Ovarian Cancer,74965,55.7,134594,751926204
Gambia,Oral Cancer,12138,9.02,134594,1397726661
Georgia,Lung Cancer,72308,48.14,150200,523963425
Georgia,Colorectal Cancer,18347,12.22,150200,581534808
Georgia,Stomach Cancer,32822,21.85,150200,344448748
Georgia,Liver Cancer,8967,5.97,150200,525136575
Georgia,Breast Cancer,12871,8.57,150200,405975707
Georgia,Esophageal Cancer,78452,52.23,150200,27379085
Georgia,Pancreatic Cancer,29179,19.43,150200,1193938460
Georgia,Prostate Cancer,56099,37.35,150200,605844421
Georgia,Cervical Cancer,19268,12.83,150200,76968554
Georgia,Bladder Cancer,61545,40.98,150200,646108795
Georgia,Non-Hodgkin Lymphoma,73146,48.7,150200,264494642
Georgia,Leukemia,43913,29.24,150200,910482328
Georgia,Kidney Cancer,56677,37.73,150200,1093010673
Georgia,Ovarian Cancer,47332,31.51,150200,514238942
Georgia,Oral Cancer,26032,17.33,150200,1028270738
Germany,Lung Cancer,30794,21.25,144936,321532628
Germany,Colorectal Cancer,71984,49.67,144936,1215170267
Germany,Stomach Cancer,29141,20.11,144936,434988466
Germany,Liver Cancer,7406,5.11,144936,826326671
Germany,Breast Cancer,24291,16.76,144936,508028064
Germany,Esophageal Cancer,47851,33.02,144936,984094823
Germany,Pancreatic Cancer,24312,16.77,144936,1000204964
Germany,Prostate Cancer,67918,46.86,144936,949340091
Germany,Cervical Cancer,42779,29.52,144936,747261724
Germany,Bladder Cancer,13411,9.25,144936,1495716837
Germany,Non-Hodgkin Lymphoma,58009,40.02,144936,562396798
Germany,Leukemia,43468,29.99,144936,662750527
Germany,Kidney Cancer,52196,36.01,144936,110541530
Germany,Ovarian Cancer,27715,19.12,144936,1407764557
Germany,Oral Cancer,32174,22.2,144936,1004366116
Ghana,Lung Cancer,70252,39.83,176373,48378941
Ghana,Colorectal Cancer,63646,36.09,176373,575682685
Ghana,Stomach Cancer,7548,4.28,176373,83430197
Ghana,Liver Cancer,74294,42.12,176373,353823956
Ghana,Breast Cancer,24177,13.71,176373,778280982
Ghana,Esophageal Cancer,6542,3.71,176373,511878596
Ghana,Pancreatic Cancer,61428,34.83,176373,53058324
Ghana,Prostate Cancer,60353,34.22,176373,1036952369
Ghana,Cervical Cancer,57532,32.62,176373,855081204
