Country,Cancer_Type,Total_Deaths,Population_Size
Indonesia,Thyroid,1587.0,1257487266.0
Argentina,Lung,,1271068067.0
Russia,Thyroid,2831.0,965542554.0
Indonesia,Cervical,996.0,73989739.0
Argentina,Breast,1348.0,295847943.0
France,Lung,,842696186.0
Bangladesh,Lung,2238.0,971122941.0
France,Liver,931.0,848949846.0
Russia,Thyroid,1897.0,789122857.0
Australia,Oesophagus,2025.0,440797433.0
Pakistan,Stomach,4318.0,512506742.0
Bangladesh,Breast,4618.0,507615116.0
USA,Lung,,170570878.0
Spain,Breast,3113.0,786901670.0
China,Lung,3178.0,1182288947.0
Vietnam,Prostate,,84652066.0
Italy,Liver,2266.0,698106891.0
Saudi Arabia,Cervical,1038.0,1113869052.0
Spain,Prostate,2658.0,809256068.0
Spain,Pancreatic,2525.0,1321302695.0
Brazil,Thyroid,4564.0,538006699.0
Saudi Arabia,Pancreatic,1420.0,430614424.0
India,Stomach,3638.0,968801876.0
Russia,Oesophagus,2552.0,1356061001.0
Italy,Cervical,4859.0,243469718.0
Turkey,Prostate,228.0,724970530.0
Indonesia,Breast,1979.0,889578520.0
USA,Breast,2598.0,1324957953.0
Turkey,Stomach,4884.0,900591085.0
France,Lung,,1231735024.0
Australia,Breast,3269.0,459736131.0
UK,Thyroid,764.0,675081113.0
France,Oesophagus,1451.0,1091733407.0
China,Liver,2974.0,336895068.0
Japan,Thyroid,1431.0,821919372.0
China,Oesophagus,3177.0,821726102.0
Argentina,Stomach,4958.0,750374654.0
Japan,Thyroid,3061.0,15879538.0
Japan,Liver,1258.0,507519208.0
Bangladesh,Liver,3175.0,264594740.0
Australia,Colorectal,86.0,861147111.0
India,Lung,1878.0,1336712094.0
South Korea,Stomach,3110.0,1392919291.0
France,Thyroid,3391.0,587645006.0
Bangladesh,Cervical,,112104482.0
Germany,Cervical,,368228119.0
South Korea,Stomach,3122.0,82523869.0
Pakistan,Thyroid,4168.0,956572125.0
USA,Prostate,1576.0,323325146.0
USA,Prostate,3569.0,743792432.0
Egypt,Lung,4941.0,1054245735.0
Brazil,Thyroid,545.0,32788493.0
Mexico,Liver,474.0,7093294.0
Mexico,Breast,2797.0,693414458.0
Indonesia,Cervical,2115.0,509383406.0
Nigeria,Thyroid,2032.0,875870839.0
China,Thyroid,1518.0,1099751541.0
Mexico,Breast,3850.0,825785236.0
Indonesia,Breast,1283.0,760424776.0
Brazil,Oesophagus,1847.0,139155893.0
Mexico,Colorectal,614.0,193091886.0
Australia,Lung,3069.0,229768875.0
Australia,Cervical,1354.0,104558853.0
Germany,Breast,182.0,977009088.0
South Korea,Prostate,498.0,911091762.0
Vietnam,Stomach,1880.0,25097525.0
Australia,Prostate,2208.0,1001359308.0
Italy,Oesophagus,3676.0,229678181.0
Mexico,Oesophagus,899.0,91108400.0
Canada,Breast,4012.0,1032059628.0
Saudi Arabia,Oesophagus,1530.0,88267761.0
Indonesia,Liver,950.0,854740510.0
Bangladesh,Pancreatic,4904.0,1090530777.0
Argentina,Thyroid,1589.0,923910913.0
Australia,Thyroid,1949.0,1046199690.0
Vietnam,Breast,2994.0,1126120800.0
Brazil,Oesophagus,3294.0,429500433.0
Spain,Stomach,,1363477114.0
Canada,Liver,1641.0,998508958.0
Nigeria,Lung,133.0,
Bangladesh,Oesophagus,3792.0,286102557.0
South Korea,Liver,4943.0,1256396454.0
Egypt,Colorectal,2177.0,197175792.0
South Korea,Lung,1651.0,1209546118.0
Mexico,Thyroid,4667.0,336130581.0
Italy,Colorectal,1272.0,169722118.0
Japan,Breast,4379.0,327219073.0
UK,Cervical,1892.0,1325143140.0
Italy,Breast,2341.0,864644685.0
Germany,Stomach,1639.0,315809799.0
Canada,Liver,2946.0,1096970182.0
Pakistan,Cervical,4538.0,1213344997.0
Australia,Lung,58.0,1182928085.0
Vietnam,Lung,4758.0,308743403.0
Argentina,Colorectal,,1279999632.0
Spain,Stomach,1977.0,
Pakistan,Thyroid,159.0,191602086.0
South Africa,Oesophagus,4979.0,973058469.0
Italy,Oesophagus,315.0,169128699.0
Argentina,Cervical,3273.0,158048820.0
Pakistan,Stomach,1004.0,574434498.0
Japan,Stomach,1399.0,1114313141.0
Indonesia,Lung,1624.0,674035202.0
Canada,Thyroid,,225926663.0
Bangladesh,Liver,3881.0,1219021214.0
Egypt,Thyroid,3305.0,671171446.0
Vietnam,Prostate,1108.0,849243208.0
Egypt,Stomach,2007.0,34179204.0
Turkey,Breast,4994.0,1081135130.0
Pakistan,Pancreatic,3197.0,1239356713.0
USA,Stomach,2569.0,1324392849.0
Egypt,Cervical,3703.0,31179824.0
Germany,Breast,2620.0,9897475.0
Pakistan,Cervical,2977.0,474629870.0
Australia,Colorectal,3937.0,541649769.0
South Africa,Pancreatic,,800282966.0
Saudi Arabia,Pancreatic,794.0,1006655404.0
USA,Lung,3564.0,669382293.0
Mexico,Stomach,2980.0,1224885376.0
UK,Lung,2729.0,643547765.0
China,Oesophagus,225.0,517275829.0
USA,Cervical,615.0,1030094875.0
Brazil,Prostate,3267.0,907322698.0
France,Prostate,4407.0,903807358.0
Bangladesh,Oesophagus,4676.0,1366717364.0
Vietnam,Colorectal,1444.0,967287828.0
Vietnam,Prostate,1270.0,177990009.0
Mexico,Cervical,997.0,70894675.0
Pakistan,Prostate,634.0,755791823.0
Italy,Oesophagus,2912.0,1253207579.0
Saudi Arabia,Breast,,922892023.0
Australia,Lung,3405.0,96715417.0
Russia,Liver,2399.0,145741991.0
Spain,Cervical,3241.0,226640129.0
South Korea,Lung,3257.0,1242146750.0
UK,Pancreatic,2626.0,678219401.0
Egypt,Thyroid,581.0,1183060558.0
India,Prostate,1281.0,1393401736.0
Canada,Prostate,2043.0,1376567642.0
UK,Colorectal,1747.0,281763783.0
Germany,Lung,3420.0,1324863749.0
Mexico,Thyroid,1595.0,452593410.0
China,Prostate,3215.0,918039001.0
Vietnam,Pancreatic,1487.0,313740044.0
USA,Colorectal,420.0,1020999288.0
Germany,Lung,4554.0,578934445.0
China,Colorectal,666.0,666973421.0
Vietnam,Lung,4216.0,58404911.0
UK,Stomach,4064.0,835267853.0
UK,Stomach,4229.0,172606079.0
Egypt,Oesophagus,2306.0,1132480827.0
USA,Cervical,4404.0,471539187.0
Pakistan,Colorectal,3360.0,487921152.0
South Africa,Oesophagus,981.0,466612554.0
Turkey,Colorectal,2379.0,1328377870.0
Australia,Prostate,443.0,817254795.0
Argentina,Liver,2515.0,891681663.0
Mexico,Colorectal,3327.0,840677227.0
South Korea,Prostate,1979.0,257509581.0
Canada,Thyroid,675.0,664580242.0
Saudi Arabia,Stomach,4707.0,476813252.0
Mexico,Oesophagus,,1347277144.0
Italy,Liver,3216.0,1047672485.0
South Korea,Pancreatic,3472.0,994510982.0
Germany,Stomach,2159.0,511504820.0
South Korea,Oesophagus,,584069009.0
Pakistan,Liver,2831.0,1119481407.0
Turkey,Pancreatic,,797836737.0
Brazil,Breast,3232.0,667168179.0
India,Prostate,1689.0,998691883.0
Australia,Breast,831.0,240259265.0
USA,Prostate,4742.0,303171644.0
UK,Lung,2106.0,489169442.0
South Africa,Cervical,2373.0,155433556.0
Saudi Arabia,Liver,2324.0,1383462560.0
Egypt,Breast,2283.0,
Russia,Cervical,2688.0,
Egypt,Liver,3337.0,379137519.0
Brazil,Oesophagus,2530.0,1368451263.0
South Korea,Lung,2666.0,1224436637.0
Canada,Oesophagus,405.0,74149571.0
India,Prostate,4537.0,51475553.0
Argentina,Cervical,4724.0,353649814.0
South Africa,Liver,3396.0,807565919.0
Italy,Colorectal,3572.0,1371374402.0
Japan,Cervical,2517.0,935367707.0
Italy,Thyroid,213.0,964026755.0
Australia,Pancreatic,3684.0,788077944.0
South Korea,Breast,4783.0,
Saudi Arabia,Liver,3713.0,1170419211.0
Russia,Stomach,3304.0,384202199.0
Mexico,Stomach,3431.0,1096587872.0
Brazil,Pancreatic,2114.0,982228418.0
Brazil,Prostate,4315.0,825566147.0
France,Cervical,4034.0,876032349.0
Nigeria,Cervical,3937.0,1385425927.0
Pakistan,Stomach,389.0,947904207.0
Saudi Arabia,Cervical,4871.0,509710836.0
South Africa,Pancreatic,3831.0,857287109.0
Saudi Arabia,Cervical,3640.0,1398886834.0
France,Prostate,1983.0,148695195.0
UK,Breast,1695.0,893958875.0
China,Thyroid,4278.0,487253332.0
South Korea,Breast,2737.0,734730311.0
Pakistan,Thyroid,4968.0,893131363.0
Turkey,Colorectal,2176.0,571483751.0
Russia,Breast,4491.0,547601138.0
Bangladesh,Pancreatic,,761919680.0
Turkey,Lung,688.0,1385356798.0
Spain,Colorectal,1274.0,624237620.0
Argentina,Thyroid,3755.0,1063252916.0
Indonesia,Thyroid,3960.0,110540297.0
UK,Colorectal,4295.0,214538457.0
South Africa,Thyroid,1599.0,1108133863.0
Germany,Liver,4195.0,666305602.0
France,Lung,1555.0,698872747.0
China,Pancreatic,4480.0,333842873.0
South Korea,Liver,1425.0,250235359.0
Japan,Thyroid,717.0,882677762.0
Australia,Breast,2424.0,
USA,Liver,4140.0,892036441.0
Saudi Arabia,Breast,1065.0,818017428.0
Nigeria,Colorectal,385.0,138305634.0
Brazil,Cervical,4811.0,1213482673.0
Brazil,Oesophagus,130.0,363206245.0
Spain,Thyroid,,821089208.0
Italy,Oesophagus,1849.0,838344654.0
Vietnam,Lung,,471912202.0
Australia,Breast,234.0,53497609.0
Japan,Liver,172.0,1298448385.0
USA,Oesophagus,4750.0,1164056940.0
Turkey,Prostate,3564.0,690514411.0
Australia,Thyroid,1444.0,759540405.0
Germany,Oesophagus,2402.0,1337760740.0
USA,Liver,3269.0,1366153010.0
Egypt,Liver,1358.0,38294620.0
Egypt,Lung,3994.0,
Australia,Stomach,1991.0,251539508.0
Saudi Arabia,Pancreatic,540.0,1172973971.0
USA,Prostate,1104.0,661325588.0
USA,Oesophagus,751.0,903396833.0
Nigeria,Pancreatic,2984.0,
UK,Prostate,4745.0,185062324.0
Saudi Arabia,Stomach,1184.0,273512672.0
Italy,Oesophagus,129.0,830305607.0
South Korea,Prostate,885.0,1232213214.0
Japan,Pancreatic,701.0,266441290.0
Russia,Breast,466.0,1314775623.0
South Africa,Liver,3730.0,1026957016.0
Brazil,Cervical,3916.0,138096816.0
China,Colorectal,795.0,1074581715.0
France,Thyroid,2052.0,404547685.0
Japan,Cervical,289.0,649879238.0
Saudi Arabia,Oesophagus,2943.0,998310924.0
USA,Oesophagus,1994.0,378810154.0
Japan,Prostate,905.0,1157712702.0
USA,Liver,3565.0,975015049.0
South Korea,Stomach,2696.0,588071849.0
China,Lung,3244.0,935057333.0
Mexico,Prostate,4565.0,72320339.0
Germany,Lung,4854.0,33809226.0
Japan,Colorectal,2648.0,13350095.0
Italy,Pancreatic,1403.0,337401380.0
Bangladesh,Prostate,2085.0,951598367.0
South Korea,Colorectal,2930.0,382919065.0
Brazil,Thyroid,729.0,1224102884.0
France,Prostate,536.0,269015923.0
China,Liver,3670.0,643054280.0
Saudi Arabia,Liver,3700.0,
Italy,Oesophagus,4768.0,351107842.0
Nigeria,Thyroid,1488.0,339043998.0
Bangladesh,Oesophagus,4364.0,754198982.0
Brazil,Lung,,92577601.0
Canada,Cervical,740.0,1112667736.0
Egypt,Stomach,1062.0,666867495.0
Nigeria,Thyroid,4592.0,1069346699.0
Brazil,Pancreatic,,535190685.0
Canada,Stomach,3758.0,
UK,Stomach,4520.0,283729309.0
Brazil,Breast,1972.0,623643496.0
UK,Prostate,687.0,567523082.0
Australia,Pancreatic,3058.0,152373747.0
Egypt,Thyroid,2283.0,391485196.0
Bangladesh,Oesophagus,2175.0,474916283.0
UK,Lung,3507.0,500367911.0
Indonesia,Prostate,4339.0,437877388.0
USA,Breast,,1079751938.0
Saudi Arabia,Lung,3738.0,1341724265.0
Bangladesh,Thyroid,1449.0,934217461.0
China,Cervical,2384.0,1865012.0
Bangladesh,Stomach,1555.0,860038914.0
UK,Breast,299.0,1193740815.0
UK,Lung,585.0,1140411331.0
India,Oesophagus,3582.0,657518046.0
Nigeria,Breast,3599.0,554908364.0
Saudi Arabia,Lung,507.0,1156763226.0
Indonesia,Breast,2788.0,1126324096.0
Canada,Oesophagus,3419.0,68741464.0
Bangladesh,Oesophagus,4185.0,503208804.0
India,Pancreatic,3746.0,445144875.0
Canada,Liver,3461.0,
Japan,Stomach,4119.0,1033129403.0
UK,Prostate,,257983878.0
France,Prostate,3235.0,489794765.0
UK,Thyroid,3288.0,420288669.0
South Korea,Colorectal,310.0,521966807.0
Argentina,Thyroid,1297.0,200887938.0
Germany,Colorectal,3383.0,463901757.0
Russia,Breast,3372.0,798175398.0
Nigeria,Colorectal,,1377258752.0
Pakistan,Liver,175.0,
Brazil,Liver,1279.0,254866585.0
France,Stomach,3261.0,1324303749.0
UK,Lung,3183.0,1200140666.0
South Korea,Prostate,1356.0,224998953.0
Indonesia,Stomach,2151.0,714502475.0
Vietnam,Liver,185.0,8323061.0
Germany,Lung,2427.0,586686693.0
Germany,Thyroid,1509.0,934923501.0
France,Prostate,4281.0,1069936930.0
Argentina,Pancreatic,862.0,1070374984.0
Pakistan,Prostate,901.0,1305007766.0
Egypt,Breast,1794.0,419338812.0
Russia,Cervical,1988.0,1132474098.0
China,Prostate,,1281396565.0
South Africa,Liver,684.0,1109184302.0
UK,Breast,718.0,959435912.0
Mexico,Oesophagus,1343.0,906614407.0
Pakistan,Colorectal,3138.0,253547651.0
China,Thyroid,318.0,1380828973.0
UK,Pancreatic,910.0,467820561.0
South Africa,Thyroid,531.0,848388792.0
Australia,Oesophagus,3340.0,1303762908.0
Japan,Cervical,3440.0,207886610.0
Australia,Prostate,1311.0,596152645.0
Bangladesh,Stomach,,1210797444.0
China,Breast,152.0,537193593.0
Saudi Arabia,Pancreatic,3844.0,180851306.0
UK,Oesophagus,4937.0,417290295.0
USA,Cervical,4384.0,17002244.0
Canada,Thyroid,2742.0,685730362.0
Nigeria,Oesophagus,3721.0,1170115207.0
Indonesia,Pancreatic,931.0,578960026.0
Pakistan,Pancreatic,2285.0,311599204.0
Germany,Cervical,3084.0,80852268.0
Japan,Thyroid,4939.0,171787198.0
China,Liver,2627.0,516490596.0
Italy,Pancreatic,,1180952399.0
Brazil,Breast,2489.0,
Spain,Breast,,414200534.0
Russia,Colorectal,1326.0,286651374.0
Turkey,Thyroid,4817.0,999365634.0
Russia,Oesophagus,3297.0,492043595.0
Egypt,Breast,4984.0,541727318.0
Russia,Cervical,3698.0,1175980974.0
Australia,Oesophagus,1362.0,207045834.0
Mexico,Thyroid,1123.0,305259049.0
Spain,Cervical,4149.0,399485742.0
Australia,Prostate,,989248497.0
Germany,Lung,3797.0,1183023608.0
Spain,Breast,,941845759.0
India,Breast,1943.0,
Spain,Colorectal,1335.0,389907949.0
Saudi Arabia,Liver,584.0,403072092.0
Egypt,Colorectal,3497.0,968509170.0
Egypt,Thyroid,1429.0,55121316.0
South Africa,Colorectal,695.0,695876682.0
Italy,Liver,73.0,1281787082.0
Mexico,Liver,4702.0,914766140.0
Russia,Pancreatic,4501.0,
USA,Pancreatic,4720.0,555280095.0
Turkey,Lung,4174.0,456753849.0
Mexico,Cervical,414.0,109787783.0
Pakistan,Prostate,2705.0,367146614.0
France,Liver,458.0,
India,Prostate,1364.0,455495842.0
Nigeria,Breast,268.0,715078789.0
Italy,Stomach,,968193748.0
Italy,Lung,1589.0,399447220.0
Indonesia,Thyroid,3483.0,983831129.0
France,Oesophagus,1652.0,1123317559.0
Vietnam,Prostate,2754.0,670544320.0
China,Colorectal,3698.0,990158626.0
South Africa,Liver,1155.0,336886234.0
China,Prostate,3461.0,422441137.0
Russia,Oesophagus,2538.0,1293633793.0
Australia,Liver,666.0,279381662.0
USA,Thyroid,4371.0,1310159549.0
UK,Stomach,2468.0,1026537092.0
Japan,Colorectal,77.0,1198537576.0
Pakistan,Prostate,3105.0,87187508.0
Italy,Pancreatic,65.0,187723372.0
Vietnam,Lung,3398.0,168375482.0
France,Prostate,382.0,373959613.0
Turkey,Prostate,4628.0,254880279.0
China,Oesophagus,4711.0,391668992.0
Italy,Oesophagus,2211.0,1244978224.0
South Africa,Lung,,1189711251.0
Turkey,Prostate,4599.0,814195970.0
Spain,Cervical,4003.0,466501232.0
France,Thyroid,2839.0,970356895.0
USA,Oesophagus,4311.0,96231482.0
Australia,Oesophagus,2302.0,82492088.0
Mexico,Cervical,294.0,1326235416.0
Saudi Arabia,Liver,1944.0,582592637.0
Argentina,Prostate,1406.0,1079199338.0
Italy,Lung,992.0,985574703.0
Canada,Oesophagus,3517.0,412820127.0
Brazil,Lung,3242.0,136325722.0
Turkey,Lung,1795.0,81885706.0
Nigeria,Thyroid,4555.0,600465240.0
Indonesia,Pancreatic,2407.0,717364991.0
South Korea,Oesophagus,3929.0,1283002071.0
Brazil,Colorectal,3827.0,350785864.0
USA,Liver,2165.0,766789575.0
India,Lung,2317.0,334998430.0
Nigeria,Oesophagus,2317.0,209356880.0
Italy,Liver,1546.0,845677982.0
China,Colorectal,2846.0,379466243.0
USA,Oesophagus,4531.0,1349297060.0
Australia,Prostate,979.0,639772871.0
South Korea,Lung,,300566384.0
Saudi Arabia,Colorectal,4550.0,511051333.0
Mexico,Prostate,,892439432.0
Egypt,Lung,406.0,1217564393.0
Italy,Breast,4360.0,1004564831.0
Mexico,Stomach,4114.0,393395662.0
Canada,Cervical,3891.0,1322691473.0
Bangladesh,Lung,3980.0,687891546.0
South Africa,Colorectal,4897.0,711341344.0
South Korea,Colorectal,876.0,638134657.0
Australia,Stomach,715.0,135477306.0
Argentina,Oesophagus,2078.0,868448553.0
Bangladesh,Cervical,3741.0,235819045.0
Italy,Liver,2632.0,16495610.0
South Africa,Lung,603.0,623517143.0
Egypt,Oesophagus,377.0,1257437810.0
Turkey,Prostate,1238.0,641370590.0
Pakistan,Liver,199.0,624912522.0
USA,Cervical,4802.0,1018483631.0
Mexico,Oesophagus,2903.0,1313962282.0
Argentina,Pancreatic,1986.0,479330729.0
Saudi Arabia,Liver,4438.0,459430539.0
USA,Thyroid,2786.0,260465442.0
Turkey,Thyroid,1006.0,513580970.0
South Africa,Lung,3298.0,317371902.0
Italy,Lung,465.0,981000311.0
South Korea,Lung,3504.0,
South Africa,Cervical,2695.0,857453143.0
Pakistan,Pancreatic,3824.0,227326242.0
Australia,Oesophagus,134.0,521275995.0
Mexico,Prostate,1985.0,84129833.0
Turkey,Breast,1466.0,967614620.0
Russia,Colorectal,1120.0,1072819375.0
Japan,Prostate,3462.0,430833081.0
Nigeria,Oesophagus,1571.0,1290603046.0
Canada,Pancreatic,1551.0,315574878.0
South Korea,Cervical,4141.0,295483598.0
Spain,Liver,2523.0,457896366.0
Spain,Prostate,785.0,726769442.0
Argentina,Liver,2888.0,814314097.0
Argentina,Breast,2612.0,365124027.0
China,Oesophagus,3956.0,1182075844.0
Saudi Arabia,Pancreatic,1322.0,844750319.0
Bangladesh,Oesophagus,4886.0,1308561247.0
France,Colorectal,1912.0,1299368194.0
UK,Cervical,4276.0,1314912573.0
Australia,Colorectal,1813.0,1353487926.0
Bangladesh,Oesophagus,4468.0,705019034.0
Argentina,Colorectal,872.0,255274461.0
Egypt,Stomach,592.0,725993029.0
Egypt,Oesophagus,2815.0,791790555.0
South Africa,Pancreatic,,1233331413.0
Italy,Prostate,934.0,119082958.0
Nigeria,Pancreatic,4336.0,27641689.0
France,Stomach,3699.0,859337470.0
UK,Prostate,4560.0,265104721.0
South Korea,Stomach,3621.0,663287294.0
India,Prostate,3983.0,720677245.0
Nigeria,Pancreatic,3716.0,943838259.0
Japan,Oesophagus,1771.0,834352259.0
Bangladesh,Lung,424.0,1361118575.0
France,Thyroid,607.0,1005158014.0
Spain,Thyroid,1330.0,831248428.0
Indonesia,Stomach,3473.0,1135917253.0
Saudi Arabia,Thyroid,1178.0,1189621753.0
Japan,Pancreatic,,1374308917.0
Australia,Liver,3647.0,369520926.0
Mexico,Stomach,1150.0,626548206.0
South Korea,Prostate,1584.0,204818109.0
South Africa,Cervical,2675.0,95519302.0
Italy,Colorectal,4177.0,970407693.0
Canada,Pancreatic,1681.0,1123856403.0
Spain,Prostate,107.0,1001693231.0
Spain,Liver,1177.0,120814071.0
Turkey,Cervical,,1228156373.0
India,Thyroid,3767.0,121376547.0
Germany,Liver,2051.0,1125151441.0
Bangladesh,Stomach,2787.0,855391024.0
Egypt,Breast,3927.0,932140440.0
India,Breast,2332.0,336401911.0
China,Thyroid,3233.0,752083170.0
India,Breast,1481.0,1157533665.0
India,Breast,3175.0,1378149259.0
Japan,Prostate,4947.0,853589455.0
UK,Prostate,4384.0,592263610.0
India,Colorectal,,19650153.0
UK,Oesophagus,1368.0,664634564.0
Turkey,Thyroid,4257.0,727959932.0
Spain,Breast,3209.0,364568683.0
Pakistan,Colorectal,1378.0,655753114.0
China,Thyroid,4435.0,460286911.0
Nigeria,Breast,4024.0,272584993.0
Pakistan,Pancreatic,4727.0,144778602.0
South Africa,Lung,4515.0,474232416.0
Egypt,Pancreatic,269.0,125702924.0
Italy,Cervical,3352.0,1003314561.0
China,Thyroid,,1253759817.0
Germany,Oesophagus,1946.0,399624790.0
Vietnam,Cervical,4494.0,183389344.0
Mexico,Colorectal,2352.0,690573926.0
Australia,Colorectal,4597.0,817083703.0
Bangladesh,Breast,4234.0,929189852.0
France,Cervical,3776.0,827851741.0
USA,Breast,2092.0,217456865.0
Nigeria,Thyroid,572.0,106167056.0
Japan,Colorectal,2757.0,637596245.0
Nigeria,Lung,3048.0,705419844.0
Japan,Colorectal,3971.0,1074387167.0
Pakistan,Prostate,959.0,336365015.0
Japan,Liver,4587.0,1313509066.0
Egypt,Oesophagus,4183.0,703017168.0
Mexico,Cervical,1930.0,1083011218.0
Bangladesh,Breast,3329.0,168291196.0
Bangladesh,Liver,4355.0,299763032.0
Egypt,Liver,2610.0,20489343.0
Turkey,Pancreatic,3122.0,363227391.0
Italy,Stomach,3876.0,462854119.0
Pakistan,Pancreatic,4526.0,639086643.0
France,Pancreatic,2925.0,267940506.0
Turkey,Oesophagus,2956.0,203878246.0
Canada,Prostate,4539.0,228935568.0
Russia,Colorectal,4541.0,248990272.0
Nigeria,Pancreatic,594.0,1128651436.0
Spain,Thyroid,3147.0,1291426322.0
USA,Colorectal,3675.0,
Japan,Prostate,3555.0,276361182.0
Germany,Breast,1134.0,697254393.0
South Africa,Stomach,602.0,512593715.0
France,Colorectal,1203.0,1182276749.0
Egypt,Cervical,3988.0,25027758.0
Spain,Oesophagus,2295.0,1311272727.0
Mexico,Liver,1736.0,257486340.0
Vietnam,Breast,743.0,978253903.0
Mexico,Prostate,3840.0,582553092.0
UK,Pancreatic,547.0,220852341.0
South Korea,Thyroid,2145.0,
UK,Thyroid,662.0,358664591.0
Indonesia,Stomach,4017.0,721134222.0
Indonesia,Prostate,425.0,1299326980.0
Vietnam,Breast,,408230109.0
South Africa,Cervical,970.0,556555606.0
Russia,Liver,3654.0,256292453.0
UK,Pancreatic,1493.0,485440396.0
Bangladesh,Oesophagus,1595.0,5688159.0
Vietnam,Lung,1260.0,671530671.0
Argentina,Lung,2130.0,130861309.0
Vietnam,Pancreatic,4737.0,922904218.0
Indonesia,Breast,2198.0,1361238433.0
Mexico,Pancreatic,1558.0,405553516.0
Egypt,Prostate,963.0,363650672.0
Nigeria,Lung,2830.0,138314464.0
Egypt,Stomach,439.0,
Indonesia,Prostate,4099.0,1061111761.0
Spain,Lung,4305.0,1217936859.0
Brazil,Cervical,3675.0,731605931.0
Saudi Arabia,Liver,1120.0,466521114.0
Japan,Thyroid,4841.0,1247642777.0
USA,Prostate,4903.0,1359129463.0
Germany,Thyroid,2620.0,1134269580.0
Indonesia,Thyroid,3787.0,628869168.0
USA,Lung,2829.0,865127318.0
Spain,Prostate,388.0,499295689.0
Italy,Liver,2026.0,398870173.0
India,Cervical,3486.0,688250564.0
Pakistan,Colorectal,844.0,143321140.0
Mexico,Stomach,1772.0,199848683.0
Australia,Thyroid,3269.0,1074435249.0
Argentina,Liver,948.0,302419528.0
Saudi Arabia,Oesophagus,152.0,655737194.0
Turkey,Oesophagus,2909.0,409002307.0
Brazil,Colorectal,4238.0,436942720.0
Russia,Colorectal,1497.0,1245388449.0
Mexico,Colorectal,4264.0,10645224.0
Turkey,Stomach,2082.0,207958902.0
Saudi Arabia,Stomach,4082.0,871059737.0
Egypt,Cervical,3110.0,258320847.0
Australia,Thyroid,1584.0,543317910.0
Indonesia,Breast,2897.0,732904429.0
Japan,Oesophagus,3259.0,191652323.0
Russia,Lung,4620.0,1036025241.0
Argentina,Lung,3513.0,1330911745.0
China,Colorectal,484.0,1354993771.0
Russia,Pancreatic,1307.0,
China,Oesophagus,104.0,842268996.0
Italy,Breast,980.0,1185362109.0
China,Breast,2849.0,859510595.0
Russia,Lung,361.0,639241262.0
Nigeria,Pancreatic,1006.0,1187926946.0
Pakistan,Breast,4133.0,481327893.0
Germany,Oesophagus,4902.0,722436871.0
Indonesia,Thyroid,,
Indonesia,Liver,1313.0,1017929108.0
Spain,Pancreatic,2797.0,252859891.0
Mexico,Breast,2832.0,573320371.0
USA,Pancreatic,,1091277316.0
UK,Pancreatic,2836.0,
Egypt,Thyroid,2865.0,195551450.0
Bangladesh,Oesophagus,3813.0,1254494181.0
Argentina,Lung,4085.0,1234102164.0
Italy,Thyroid,4889.0,467716476.0
India,Breast,2373.0,1162084807.0
USA,Colorectal,,217805717.0
Bangladesh,Thyroid,2151.0,731886147.0
Russia,Colorectal,4402.0,412431588.0
Canada,Prostate,2078.0,1280605134.0
Vietnam,Lung,1979.0,1062005722.0
Germany,Oesophagus,1508.0,771097364.0
Mexico,Liver,1698.0,425677935.0
South Africa,Pancreatic,457.0,752641133.0
South Africa,Colorectal,3390.0,329715311.0
China,Liver,2027.0,742874165.0
Vietnam,Liver,2463.0,284495043.0
Brazil,Colorectal,4987.0,1285815378.0
Brazil,Liver,1810.0,
Nigeria,Pancreatic,3647.0,677248338.0
UK,Cervical,1428.0,1171686426.0
Japan,Prostate,670.0,802040103.0
Spain,Colorectal,979.0,947282537.0
Italy,Pancreatic,,
South Africa,Lung,4537.0,934128239.0
Saudi Arabia,Colorectal,4497.0,1076832770.0
Pakistan,Pancreatic,2903.0,1176154457.0
South Korea,Pancreatic,1739.0,391622793.0
Turkey,Thyroid,4721.0,1270207767.0
China,Cervical,4668.0,147509245.0
Pakistan,Colorectal,775.0,1385889990.0
Nigeria,Oesophagus,211.0,985925099.0
Australia,Pancreatic,708.0,1106334614.0
South Korea,Prostate,2947.0,1260706522.0
South Korea,Thyroid,4669.0,909413865.0
China,Pancreatic,4149.0,840037768.0
USA,Colorectal,2592.0,603236907.0
Brazil,Breast,1628.0,138899063.0
Brazil,Pancreatic,4044.0,173833154.0
India,Stomach,1124.0,386192829.0
Bangladesh,Breast,3255.0,297097676.0
Mexico,Pancreatic,4094.0,918091642.0
Saudi Arabia,Liver,3483.0,843641445.0
Russia,Pancreatic,927.0,105883540.0
UK,Lung,1141.0,835921298.0
Vietnam,Liver,3109.0,343588120.0
Italy,Colorectal,1724.0,1154310950.0
France,Prostate,1658.0,1281239872.0
Germany,Breast,2876.0,193588209.0
USA,Oesophagus,1267.0,237998864.0
Spain,Thyroid,3102.0,919467784.0
South Africa,Prostate,363.0,933744023.0
Canada,Liver,779.0,337928339.0
Germany,Thyroid,4089.0,961768720.0
Germany,Breast,,988966284.0
Mexico,Oesophagus,1862.0,67037795.0
Japan,Stomach,2374.0,837110362.0
India,Stomach,3479.0,452092113.0
Brazil,Oesophagus,2795.0,993249873.0
Turkey,Thyroid,1914.0,1228559490.0
Bangladesh,Colorectal,3341.0,132578830.0
France,Thyroid,,1126229597.0
Mexico,Pancreatic,277.0,1091649160.0
India,Thyroid,2114.0,119554746.0
